School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2016,Math,6,2007,Eldora-New Providence,,,,Not Reportable,,,,,
2016,Reading,7,5949,Sheldon,57,67,85.1,80.1 - 90%,,,,,
2016,Reading,3,2151,Exira-Elk Horn-,12,16,75.0,70.1 - 80%,,,,,
2016,Math,3,6983,West Lyon,15,16,93.8,90.1 - 100%,,,,,
2016,Math,3,4572,Murray,15,16,93.8,90.1 - 100%,,,,,
2016,Math,7,6536,Union,68,74,91.9,90.1 - 100%,,,,,
2016,Reading,3,1968,East Marshall,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,3,0423,Aurelia,12,16,75.0,70.1 - 80%,,,,,
2016,Reading,6,0099,Alburnett,28,42,66.7,60.1 - 70%,,,,,
2016,Reading,3,4023,Manson Northwest Webster,12,16,75.0,70.1 - 80%,,,,,
2016,Math,3,3942,Madrid,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,4,1079,Central Lee,51,65,78.5,70.1 - 80%,,,,,
2016,Reading,4,7092,Woodbine,26,32,81.3,80.1 - 90%,,,,,
2016,Math,3,5877,Sergeant Bluff-Luton,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,11,2673,Nodaway Valley,40,50,80.0,70.1 - 80%,,,,,
2016,Reading,7,2151,Exira-Elk Horn-,16,22,72.7,70.1 - 80%,,,,,
2016,Math,7,4505,Mormon Trail,11,15,73.3,70.1 - 80%,,,,,
2016,Reading,6,6840,Waverly-Shell Rock,120,149,80.5,80.1 - 90%,,,,,
2016,Math,11,0355,Ar-We-Va,18,18,100.0,90.1 - 100%,,,,,
2016,Math,8,1503,Creston,55,83,66.3,60.1 - 70%,,,,,
2016,Math,6,4509,Morning Sun,11,13,84.6,80.1 - 90%,,,,,
2016,Math,8,5139,Paton-Churdan,13,13,100.0,90.1 - 100%,,,,,
2016,Reading,6,3816,Lone Tree,24,41,58.5,50.1 - 60%,,,,,
2016,Math,4,3060,Humboldt,77,88,87.5,80.1 - 90%,,,,,
2016,Reading,4,2718,Griswold,24,32,75.0,70.1 - 80%,,,,,
2016,Reading,7,1619,Davis County,65,77,84.4,80.1 - 90%,,,,,
2016,Reading,6,1970,East Union,23,37,62.2,60.1 - 70%,,,,,
2016,Reading,5,4878,Ogden,34,39,87.2,80.1 - 90%,,,,,
2016,Math,7,6453,Treynor,61,64,95.3,90.1 - 100%,,,,,
2016,Math,5,4527,Mount Ayr,52,56,92.9,90.1 - 100%,,,,,
2016,Reading,5,4131,Mason City,169,250,67.6,60.1 - 70%,,,,,
2016,Reading,6,1989,Edgewood-Colesburg,38,48,79.2,70.1 - 80%,,,,,
2016,Math,3,4086,Marion Independent,15,16,93.8,90.1 - 100%,,,,,
2016,Math,5,3150,Iowa Falls,59,71,83.1,80.1 - 90%,,,,,
2016,Reading,8,1970,East Union,22,33,66.7,60.1 - 70%,,,,,
2016,Reading,8,6091,South Central Calhoun,53,67,79.1,70.1 - 80%,,,,,
2016,Math,5,5724,Ruthven-Ayrshire,10,13,76.9,70.1 - 80%,,,,,
